#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA7	APOE	9606.ENSP00000263094	9606.ENSP00000252486	0	0	0	0	0.047	0	0	0.773	0.774
ABCA7	SORL1	9606.ENSP00000263094	9606.ENSP00000260197	0	0	0	0	0.083	0	0	0.833	0.841
ABCA7	TREM2	9606.ENSP00000263094	9606.ENSP00000362205	0	0	0	0	0.056	0	0	0.772	0.775
ABCA7	PSEN2	9606.ENSP00000263094	9606.ENSP00000355747	0	0	0	0	0	0	0	0.803	0.803
ADD1	GAPDH	9606.ENSP00000264758	9606.ENSP00000380070	0	0	0	0	0.049	0	0.352	0.569	0.711
ADD1	SLC2A1	9606.ENSP00000264758	9606.ENSP00000416293	0.046	0	0	0	0.057	0	0	0.761	0.766
ADD1	CASP3	9606.ENSP00000264758	9606.ENSP00000311032	0	0	0	0	0.042	0	0.750	0.174	0.784
ADORA2A	NTRK2	9606.ENSP00000480012	9606.ENSP00000277120	0	0	0	0	0	0	0.700	0.809	0.940
ADORA2A	DRD2	9606.ENSP00000480012	9606.ENSP00000354859	0	0	0	0.639	0.100	0.806	0	0.987	0.997
ADORA2A	CNR1	9606.ENSP00000480012	9606.ENSP00000358513	0	0	0	0.602	0.051	0.634	0	0.884	0.956
AKT1	LMNB1	9606.ENSP00000451828	9606.ENSP00000261366	0	0	0	0	0.067	0.110	0	0.737	0.763
AKT1	CREBBP	9606.ENSP00000451828	9606.ENSP00000262367	0	0	0	0	0.080	0.513	0	0.700	0.854
AKT1	TYROBP	9606.ENSP00000451828	9606.ENSP00000262629	0	0	0	0	0.104	0	0	0.738	0.755
AKT1	PPARGC1A	9606.ENSP00000451828	9606.ENSP00000264867	0	0	0	0	0	0.095	0	0.741	0.756
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	ITPR1	9606.ENSP00000451828	9606.ENSP00000306253	0	0	0	0	0.042	0.440	0	0.967	0.981
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0.044	0.311	0	0.923	0.945
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0	0.579	0.138	0.929	0.900	0.428	0.996
AKT1	MAPT	9606.ENSP00000451828	9606.ENSP00000340820	0	0	0	0	0	0.737	0	0.534	0.872
AKT1	CASP8	9606.ENSP00000451828	9606.ENSP00000351273	0	0	0	0	0.059	0.067	0	0.780	0.790
AKT1	VCP	9606.ENSP00000451828	9606.ENSP00000351777	0	0	0	0	0.060	0.614	0	0.328	0.735
