#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA7	APOE	9606.ENSP00000263094	9606.ENSP00000252486	0	0	0	0	0.047	0	0	0.773	0.774
ABCA7	SORL1	9606.ENSP00000263094	9606.ENSP00000260197	0	0	0	0	0.083	0	0	0.833	0.841
ABCA7	TREM2	9606.ENSP00000263094	9606.ENSP00000362205	0	0	0	0	0.056	0	0	0.772	0.775
ABCA7	PSEN2	9606.ENSP00000263094	9606.ENSP00000355747	0	0	0	0	0	0	0	0.803	0.803
ACE	APOE	9606.ENSP00000290866	9606.ENSP00000252486	0	0	0	0	0.049	0	0	0.875	0.876
ACE	ATP6AP2	9606.ENSP00000290866	9606.ENSP00000490083	0	0	0	0	0	0	0	0.722	0.722
ACE	IL6	9606.ENSP00000290866	9606.ENSP00000385675	0	0	0	0	0	0	0	0.776	0.776
ACE	MTHFR	9606.ENSP00000290866	9606.ENSP00000365770	0	0	0	0	0	0	0	0.818	0.818
AFG3L2	SPG7	9606.ENSP00000269143	9606.ENSP00000495795	0	0	0.101	0.875	0.096	0	0.540	0.926	0.968
APOE	TTR	9606.ENSP00000252486	9606.ENSP00000237014	0	0	0	0	0.092	0	0.500	0.903	0.952
APOE	PRNP	9606.ENSP00000252486	9606.ENSP00000399376	0	0	0	0	0.049	0.062	0	0.709	0.717
APOE	XPR1	9606.ENSP00000252486	9606.ENSP00000356562	0	0	0	0	0	0	0	0.794	0.794
APOE	SCARB2	9606.ENSP00000252486	9606.ENSP00000264896	0	0	0	0	0.102	0	0	0.784	0.797
APOE	IL6	9606.ENSP00000252486	9606.ENSP00000385675	0	0	0	0	0	0	0	0.835	0.835
APOE	MTHFR	9606.ENSP00000252486	9606.ENSP00000365770	0	0	0	0	0	0	0	0.843	0.843
APOE	LRP10	9606.ENSP00000252486	9606.ENSP00000352601	0	0	0	0	0	0	0.400	0.797	0.872
APOE	PSEN1	9606.ENSP00000252486	9606.ENSP00000326366	0	0	0	0	0	0	0	0.956	0.956
APOE	PSEN2	9606.ENSP00000252486	9606.ENSP00000355747	0	0	0	0	0.044	0	0	0.961	0.961
APOE	MAPT	9606.ENSP00000252486	9606.ENSP00000340820	0	0	0	0	0.044	0.701	0	0.973	0.991
APOE	SNCA	9606.ENSP00000252486	9606.ENSP00000500990	0	0	0	0	0.060	0.785	0.500	0.967	0.996
APOE	TREM2	9606.ENSP00000252486	9606.ENSP00000362205	0	0	0	0	0.181	0.584	0	0.994	0.997
APOE	SORL1	9606.ENSP00000252486	9606.ENSP00000260197	0	0	0	0	0.042	0.600	0	0.995	0.997
