#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AARS1	MARS1	9606.ENSP00000261772	9606.ENSP00000262027	0.112	0	0	0	0.404	0	0	0.849	0.913
AARS1	GARS1	9606.ENSP00000261772	9606.ENSP00000373918	0.056	0	0	0	0.527	0.765	0	0.858	0.983
ABCA1	APOE	9606.ENSP00000363868	9606.ENSP00000252486	0	0	0	0	0.084	0	0	0.979	0.980
ABCA1	STAT3	9606.ENSP00000363868	9606.ENSP00000264657	0	0	0	0	0.050	0	0	0.813	0.815
ABCA1	NPC1	9606.ENSP00000363868	9606.ENSP00000269228	0	0	0	0	0.062	0.067	0	0.806	0.816
ABCA1	LIPA	9606.ENSP00000363868	9606.ENSP00000337354	0	0	0	0	0.063	0.041	0	0.730	0.736
ABCA4	CEP290	9606.ENSP00000359245	9606.ENSP00000448012	0	0	0	0	0	0	0	0.711	0.711
ABCA7	APOE	9606.ENSP00000263094	9606.ENSP00000252486	0	0	0	0	0.047	0	0	0.773	0.774
ABCA7	SORL1	9606.ENSP00000263094	9606.ENSP00000260197	0	0	0	0	0.083	0	0	0.833	0.841
ABCA7	TREM2	9606.ENSP00000263094	9606.ENSP00000362205	0	0	0	0	0.056	0	0	0.772	0.775
ABCA7	PSEN2	9606.ENSP00000263094	9606.ENSP00000355747	0	0	0	0	0	0	0	0.803	0.803
ACE	APOE	9606.ENSP00000290866	9606.ENSP00000252486	0	0	0	0	0.049	0	0	0.875	0.876
ACE	TNF	9606.ENSP00000290866	9606.ENSP00000398698	0	0	0	0	0.044	0	0	0.720	0.720
ACE	NOS3	9606.ENSP00000290866	9606.ENSP00000297494	0	0	0	0	0.066	0	0	0.724	0.731
ACE	IL6	9606.ENSP00000290866	9606.ENSP00000385675	0	0	0	0	0	0	0	0.776	0.776
ACE	MTHFR	9606.ENSP00000290866	9606.ENSP00000365770	0	0	0	0	0	0	0	0.818	0.818
ACE	ADAM17	9606.ENSP00000290866	9606.ENSP00000309968	0	0	0	0	0.087	0	0	0.814	0.823
ADAM17	NOTCH2	9606.ENSP00000309968	9606.ENSP00000256646	0	0	0	0	0.055	0.078	0.900	0.415	0.942
ADAM17	NOTCH3	9606.ENSP00000309968	9606.ENSP00000263388	0	0	0	0	0	0.078	0.900	0.407	0.940
ADAM17	APP	9606.ENSP00000309968	9606.ENSP00000284981	0	0	0	0	0.042	0.311	0	0.627	0.733
ADAM17	ACE	9606.ENSP00000309968	9606.ENSP00000290866	0	0	0	0	0.087	0	0	0.814	0.823
ADAM17	PSEN1	9606.ENSP00000309968	9606.ENSP00000326366	0	0	0	0	0.072	0	0	0.703	0.712
ADAM17	TNF	9606.ENSP00000309968	9606.ENSP00000398698	0	0	0	0	0.044	0	0.750	0.811	0.950
ADAM17	NOTCH1	9606.ENSP00000309968	9606.ENSP00000498587	0	0	0	0	0	0.078	0.900	0.537	0.953
AGL	PYGM	9606.ENSP00000294724	9606.ENSP00000164139	0.115	0	0	0	0.665	0	0.965	0.799	0.997
AGL	G6PC	9606.ENSP00000294724	9606.ENSP00000253801	0	0	0	0	0	0	0	0.819	0.819
AGL	SCN9A	9606.ENSP00000294724	9606.ENSP00000386306	0	0	0	0	0	0	0	0.810	0.810
AGL	GNE	9606.ENSP00000294724	9606.ENSP00000379839	0.195	0	0	0	0.049	0	0.809	0.089	0.849
AGL	EPM2A	9606.ENSP00000294724	9606.ENSP00000356489	0	0	0	0	0.060	0	0	0.873	0.876
AGL	NHLRC1	9606.ENSP00000294724	9606.ENSP00000345464	0	0	0	0	0.052	0.292	0	0.871	0.905
AGL	GYS1	9606.ENSP00000294724	9606.ENSP00000317904	0.090	0	0	0	0.423	0.078	0.387	0.841	0.944
AGL	GBE1	9606.ENSP00000294724	9606.ENSP00000410833	0.231	0	0	0	0.623	0	0.900	0.807	0.993
APOE	CTSD	9606.ENSP00000252486	9606.ENSP00000236671	0	0	0	0	0.182	0	0	0.722	0.763
APOE	TTR	9606.ENSP00000252486	9606.ENSP00000237014	0	0	0	0	0.092	0	0.500	0.903	0.952
APOE	PRNP	9606.ENSP00000252486	9606.ENSP00000399376	0	0	0	0	0.049	0.062	0	0.709	0.717
APOE	IL10	9606.ENSP00000252486	9606.ENSP00000412237	0	0	0	0	0.087	0	0	0.720	0.734
APOE	LRP5	9606.ENSP00000252486	9606.ENSP00000294304	0	0	0	0	0	0	0	0.736	0.736
APOE	ABCA7	9606.ENSP00000252486	9606.ENSP00000263094	0	0	0	0	0.047	0	0	0.773	0.774
APOE	NOS3	9606.ENSP00000252486	9606.ENSP00000297494	0	0	0	0	0.044	0.292	0	0.697	0.777
APOE	BACE1	9606.ENSP00000252486	9606.ENSP00000318585	0	0	0	0	0.074	0	0	0.777	0.785
APOE	TNF	9606.ENSP00000252486	9606.ENSP00000398698	0	0	0	0	0	0	0	0.806	0.806
APOE	IL6	9606.ENSP00000252486	9606.ENSP00000385675	0	0	0	0	0	0	0	0.835	0.835
APOE	MTHFR	9606.ENSP00000252486	9606.ENSP00000365770	0	0	0	0	0	0	0	0.843	0.843
APOE	IL1B	9606.ENSP00000252486	9606.ENSP00000263341	0	0	0	0	0.087	0	0	0.839	0.846
APOE	ACE	9606.ENSP00000252486	9606.ENSP00000290866	0	0	0	0	0.049	0	0	0.875	0.876
APOE	PSEN1	9606.ENSP00000252486	9606.ENSP00000326366	0	0	0	0	0	0	0	0.956	0.956
