node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
ABCA7,24.0,0.56839,4.0,4.0,4.074,1.0,0.15978,38.91667,4.59332,0.0,0.0,1.0,
APOE,630.0,0.52601,11.0,11.0,10.816,5.0,0.19174,53.95,5.41861,166.50678,1202.0,0.56364,
SORL1,145.0,0.61814,6.0,7.0,6.808,1.0,0.15978,47.9,5.12684,55.74733,392.0,0.61905,
TREM2,266.0,0.62199,7.0,9.0,7.653,2.0,0.15978,49.1,5.13518,128.0596,972.0,0.5,
PSEN2,388.0,0.45891,10.0,10.0,9.276,1.0,0.19174,49.98333,5.1852,79.45469,642.0,0.51111,
ADD1,4.0,0.30898,3.0,3.0,4.245,1.0,0.19174,42.63333,4.9101,2.14372,18.0,0.66667,
GAPDH,1128.0,0.40697,21.0,21.0,16.498,11.0,0.23967,63.5,5.75207,623.31843,4022.0,0.34286,
SLC2A1,14.0,0.38896,5.0,5.0,6.273,1.0,0.19174,45.4,5.02681,10.1688,76.0,0.6,
CASP3,890.0,0.37305,21.0,21.0,15.444,7.0,0.19174,62.53333,5.67704,671.7003,3820.0,0.31429,
ADORA2A,4.0,0.30898,3.0,3.0,2.418,1.0,0.15978,36.75,4.37657,4.11905,16.0,0.66667,
NTRK2,22.0,0.29157,8.0,8.0,5.322,2.0,0.19174,46.38333,5.03514,126.72138,960.0,0.35714,
DRD2,20.0,0.2927,7.0,11.0,5.193,6.0,0.15978,49.18333,5.11851,634.71343,3208.0,0.14545,
CNR1,9.0,0.37893,4.0,5.0,3.651,2.0,0.15978,43.83333,4.91843,63.65441,480.0,0.4,
AKT1,606.0,0.41286,17.0,19.0,14.999,5.0,0.19174,58.9,5.51031,401.79822,2698.0,0.29825,
LMNB1,3.0,0.30779,2.0,3.0,4.7,1.0,0.19174,42.55,4.90176,1.23333,6.0,0.33333,
CREBBP,146.0,0.5012,9.0,9.0,10.31,2.0,0.19174,54.03333,5.44362,50.92842,464.0,0.58333,
TYROBP,3.0,0.30779,2.0,3.0,2.905,1.0,0.15978,40.58333,4.68502,6.1424,46.0,0.33333,
PPARGC1A,138.0,0.35124,12.0,12.0,11.705,1.0,0.19174,55.11667,5.43529,104.04691,752.0,0.36364,
TP53,1297.0,0.35027,27.0,28.0,17.619,6.0,0.23967,65.41667,5.71038,992.60708,5536.0,0.25132,
