node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
ABCA7,24.0,0.56839,4.0,4.0,25.859,1.0,0.16138,40.53333,6.51371,0.0,0.0,1.0,
APOE,536.0,0.55867,10.0,16.0,46.957,15.0,0.16138,56.73333,7.29791,1873.77307,8578.0,0.25833,
SORL1,145.0,0.61814,6.0,7.0,39.069,1.0,0.16138,48.85,7.01784,145.12632,848.0,0.61905,
TREM2,265.0,0.62199,7.0,8.0,39.879,3.0,0.16138,48.6,6.96183,270.35491,1580.0,0.60714,
PSEN2,386.0,0.52506,9.0,9.0,40.793,1.0,0.16138,49.1,6.96983,73.74927,584.0,0.61111,
ACE,5.0,0.30898,3.0,4.0,14.541,2.0,0.13832,40.24286,6.44969,247.26923,1020.0,0.33333,
ATP6AP2,1.0,0.0,1.0,1.0,3.435,1.0,0.12103,29.74405,5.48944,0.0,0.0,0.0,
IL6,7.0,0.30898,3.0,6.0,22.627,4.0,0.16138,43.63333,6.66575,217.89494,798.0,0.13333,
MTHFR,3.0,0.30779,2.0,3.0,13.824,1.0,0.13832,40.02619,6.44969,61.75063,186.0,0.33333,
AFG3L2,1.0,0.0,1.0,1.0,1.894,1.0,0.10758,24.27063,4.54519,0.0,0.0,0.0,
SPG7,2.0,0.0,1.0,2.0,4.112,2.0,0.12103,30.5631,5.50544,240.0,1330.0,0.0,
TTR,25.0,0.56839,4.0,5.0,31.551,3.0,0.16138,48.98333,7.08986,476.0,1556.0,0.6,
PRNP,408.0,0.57279,9.0,9.0,47.274,1.0,0.16138,53.48333,7.2499,70.56404,646.0,0.66667,
XPR1,2.0,0.0,1.0,2.0,10.594,3.0,0.13832,38.35952,6.36967,476.0,1956.0,0.0,
SCARB2,3.0,0.30779,2.0,3.0,21.349,1.0,0.16138,44.38333,6.84179,99.93284,520.0,0.33333,
LRP10,1.0,0.0,1.0,1.0,10.49,1.0,0.13832,37.44286,6.33766,0.0,0.0,0.0,
PSEN1,736.0,0.4054,14.0,14.0,52.47,3.0,0.19365,57.56667,7.39394,446.75158,3012.0,0.3956,
MAPT,4880.0,0.36955,26.0,26.0,58.549,25.0,0.19365,66.48333,7.65801,1609.16142,9460.0,0.28923,
SNCA,51463.0,0.34984,31.0,32.0,58.357,32.0,0.19365,71.86667,7.83405,3551.88362,15870.0,0.24194,
APP,938.0,0.40402,18.0,18.0,55.806,4.0,0.19365,60.81667,7.49797,583.21281,4138.0,0.35948,
TARDBP,18523.0,0.47297,24.0,25.0,58.078,9.0,0.19365,62.65,7.44995,694.41491,5456.0,0.35,
GFAP,21.0,0.45378,5.0,8.0,40.85,2.0,0.16138,51.68333,7.14587,364.56758,1682.0,0.25,
SOD1,14466.0,0.50256,16.0,16.0,55.191,1.0,0.19365,57.6,7.35393,241.96864,2222.0,0.46667,
UCHL1,8888.0,0.56306,14.0,14.0,54.968,3.0,0.19365,58.4,7.44995,230.02922,1704.0,0.54945,
PARK7,53113.0,0.45945,24.0,25.0,58.175,11.0,0.19365,65.98333,7.65001,1326.19667,7246.0,0.34,
C9orf72,13383.0,0.53845,16.0,17.0,56.121,5.0,0.19365,54.98333,7.16988,217.14222,1470.0,0.44118,
FMR1,10.0,0.32413,5.0,5.0,37.305,1.0,0.16138,46.01667,6.8498,23.42497,180.0,0.5,
PRKN,49753.0,0.42852,26.0,27.0,58.399,9.0,0.19365,67.23333,7.67401,1230.49537,8628.0,0.31054,
NEFL,24.0,0.51861,5.0,5.0,36.743,1.0,0.16138,47.26667,6.97783,2.51354,34.0,0.8,
ARSA,24.0,0.56839,4.0,4.0,16.313,1.0,0.13832,34.38571,5.92155,0.0,0.0,1.0,
SMPD1,49.0,0.58344,5.0,6.0,21.065,3.0,0.16138,41.68333,6.55372,274.75634,1342.0,0.6,
PSAP,49.0,0.58344,5.0,6.0,26.107,1.0,0.16138,43.73333,6.70576,125.79138,848.0,0.6,
GLA,48.0,0.58344,5.0,5.0,22.688,1.0,0.16138,41.18333,6.54572,34.75634,358.0,0.9,
GALC,49.0,0.58344,5.0,6.0,26.53,1.0,0.16138,44.41667,6.76978,148.15788,824.0,0.6,
ATP13A2,43112.0,0.5262,17.0,17.0,55.988,13.0,0.19365,61.06667,7.52998,1171.09605,6462.0,0.47794,
DNAJC13,121.0,0.64826,5.0,6.0,33.05,2.0,0.16138,43.9,6.72176,72.34189,434.0,0.66667,
FBXO7,50196.0,0.65097,15.0,15.0,56.235,3.0,0.19365,57.48333,7.38594,128.78474,1228.0,0.61905,
SLC6A3,170.0,0.39514,12.0,12.0,44.372,5.0,0.19365,53.38333,7.20189,451.27044,2748.0,0.40909,
LRRK2,49744.0,0.46349,21.0,21.0,57.658,8.0,0.19365,63.56667,7.59399,490.44544,3764.0,0.39048,
VPS35,41684.0,0.49382,17.0,19.0,55.764,3.0,0.19365,60.4,7.46596,780.18812,4480.0,0.35673,
GBA,46225.0,0.7981,10.0,15.0,53.186,8.0,0.19365,57.9,7.40994,1218.2032,6004.0,0.4381,
GIGYF2,3010.0,0.59388,11.0,11.0,50.822,1.0,0.19365,54.86667,7.32992,160.50291,1130.0,0.63636,
SYNJ1,247.0,0.5854,7.0,8.0,43.606,1.0,0.16138,48.13333,6.96983,64.32593,404.0,0.57143,
VPS13C,240.0,0.66569,6.0,6.0,36.637,1.0,0.16138,44.86667,6.77778,2.3186,16.0,0.93333,
C19orf12,52.0,0.40246,7.0,7.0,24.341,6.0,0.16138,44.56667,6.72977,770.58417,3786.0,0.52381,
DNAJC6,480.0,0.59666,9.0,9.0,45.25,1.0,0.16138,50.21667,7.05785,38.55113,466.0,0.69444,
PLA2G6,1951.0,0.41281,16.0,17.0,54.414,6.0,0.16138,56.63333,7.2499,1450.24075,8854.0,0.33824,
PINK1,53092.0,0.39707,26.0,26.0,58.186,3.0,0.19365,66.06667,7.634,1086.88928,6656.0,0.31077,
ATP1A3,1.0,0.0,1.0,1.0,4.03,1.0,0.13832,33.30952,5.99357,0.0,0.0,0.0,
TOR1A,6.0,0.30898,3.0,5.0,15.198,5.0,0.16138,46.8,6.95382,735.00552,2086.0,0.2,
ATP7B,1.0,0.0,1.0,1.0,2.355,1.0,0.12103,27.17738,5.18536,0.0,0.0,0.0,
CP,2.0,0.0,1.0,2.0,7.049,2.0,0.13832,35.12619,6.14561,240.0,780.0,0.0,
ATXN2,160.0,0.3791,10.0,12.0,50.181,4.0,0.16138,51.58333,7.04185,404.13091,2140.0,0.30303,
FUS,17766.0,0.64095,15.0,15.0,55.519,1.0,0.19365,53.1,7.09786,71.68467,678.0,0.60952,
UBQLN2,13610.0,0.6081,14.0,14.0,55.202,1.0,0.19365,52.01667,7.01784,80.69349,674.0,0.59341,
CHCHD10,49.0,0.58344,5.0,6.0,41.02,1.0,0.16138,46.36667,6.8498,57.84768,264.0,0.6,
EIF4G1,16.0,0.33284,6.0,6.0,39.478,1.0,0.16138,47.5,6.92982,51.08328,388.0,0.46667,
VAPB,8163.0,0.6293,12.0,13.0,53.21,2.0,0.16138,49.58333,6.8578,266.96419,2354.0,0.55128,
CACNA1A,3.0,0.30779,2.0,3.0,17.337,3.0,0.16138,39.26667,6.43369,476.0,1816.0,0.33333,
